user_id,usage_intensity,num_devices,has_camera,num_cameras,video_retention_days,daily_api_calls,iot_msg_per_device_per_day,automation_rules,notifications_enabled,cost_cloudfront,cost_apigw,cost_waf,cost_cognito,cost_iot_core,cost_iot_device_mgmt,cost_kvs_compute,cost_kvs_storage,cost_lambda,cost_step_functions,cost_sns,cost_dynamo_compute,cost_dynamo_storage,cost_timestream_compute,cost_timestream_storage,cost_s3_storage,cost_s3_requests,cost_s3_transfer,cost_cloudwatch,cost_network,cost_storage,cost_compute,cost_total_monthly
0,0.5609,3,False,0,30,146.8,358.5,8,True,0.0797,0.0154,0.0126,0.0,0.0377,0.3,0.0,0.0,0.0216,0.06,0.0008,0.0128,0.0001,0.0161,0.0001,0.0,0.0001,0.0,0.0127,0.0797,0.0002,0.4899,0.5699
1,0.292,8,False,0,14,83.6,210.6,4,True,0.0456,0.0088,0.0115,0.0,0.0651,0.8,0.0,0.0,0.0245,0.03,0.0013,0.0113,0.0001,0.0253,0.0002,0.0,0.0001,0.0,0.0134,0.0456,0.0003,0.9912,1.0371
2,0.6501,5,False,0,7,167.8,407.5,9,False,0.091,0.0176,0.013,0.0,0.0702,0.5,0.0,0.0,0.0339,0.0675,0.0,0.0177,0.0001,0.0306,0.0002,0.0,0.0001,0.0,0.0159,0.091,0.0003,0.7666,0.8579
3,0.6881,5,False,0,7,176.7,428.5,10,True,0.0958,0.0186,0.0132,0.0,0.0733,0.5,0.0,0.0,0.0358,0.075,0.0016,0.0186,0.0001,0.0321,0.0002,0.0,0.0001,0.0,0.0164,0.0958,0.0003,0.7847,0.8809
4,0.1098,9,True,1,14,40.8,110.4,1,False,0.0225,0.0043,0.0107,0.0,0.0461,0.9,1.6263,1.9194,0.0138,0.0075,0.0,0.0062,0.0001,0.0149,0.0001,0.5758,0.1282,0.2253,0.0106,0.2478,2.4954,2.7686,5.5118
5,0.2396,5,False,0,14,71.3,181.8,3,True,0.0389,0.0075,0.0113,0.0,0.0363,0.5,0.0,0.0,0.0148,0.0225,0.0007,0.0077,0.0001,0.0136,0.0001,0.0,0.0,0.0,0.0109,0.0389,0.0002,0.6254,0.6645
6,0.5256,6,True,2,90,138.5,339.1,7,False,0.0752,0.0145,0.0125,0.0,0.0719,0.6,10.0942,75.8008,0.032,0.0525,0.0,0.0159,0.0001,0.0305,0.0002,22.7402,5.0623,8.8984,0.0154,8.9736,98.5414,16.0017,123.5166
7,0.4368,6,True,1,30,117.6,290.2,6,True,0.0639,0.0124,0.0121,0.0,0.0631,0.6,4.3163,10.8133,0.0273,0.045,0.0013,0.0136,0.0001,0.0261,0.0002,3.244,0.7222,1.2694,0.0142,1.3333,14.0576,5.8537,21.2446
8,0.4966,4,True,4,14,131.7,323.2,7,False,0.0715,0.0138,0.0124,0.0,0.046,0.4,19.2363,22.4759,0.0231,0.0525,0.0,0.0127,0.0001,0.0194,0.0001,6.7428,1.5011,2.6385,0.0131,2.71,29.2189,21.3304,53.2593
9,0.3294,2,False,0,30,92.4,231.2,4,True,0.0503,0.0097,0.0117,0.0,0.0175,0.2,0.0,0.0,0.011,0.03,0.0003,0.0073,0.0001,0.0069,0.0,0.0,0.0001,0.0,0.0099,0.0503,0.0002,0.3044,0.3549
10,0.6759,10,True,2,90,173.8,421.7,10,True,0.0943,0.0183,0.0131,0.0,0.1447,1.0,12.5676,94.2828,0.0593,0.075,0.0032,0.0262,0.0001,0.0633,0.0004,28.2848,6.2966,11.068,0.0226,11.1623,122.5682,20.2897,154.0201
11,0.6556,2,True,3,14,169.1,410.6,9,True,0.0917,0.0178,0.013,0.0,0.0283,0.2,18.3497,21.4163,0.0201,0.0675,0.0006,0.0132,0.0001,0.0123,0.0001,6.4249,1.4303,2.5141,0.0123,2.6058,27.8414,20.1652,50.6123
12,0.5132,4,False,0,14,135.6,332.3,7,True,0.0737,0.0142,0.0124,0.0,0.0471,0.4,0.0,0.0,0.0238,0.0525,0.001,0.0131,0.0001,0.0199,0.0001,0.0,0.0001,0.0,0.0132,0.0737,0.0002,0.5974,0.6713
13,0.7254,9,True,2,90,185.5,449.0,10,True,0.1006,0.0195,0.0133,0.0,0.1376,0.9,13.3832,100.3777,0.058,0.075,0.003,0.0263,0.0001,0.0606,0.0004,30.1133,6.7036,11.7835,0.0222,11.884,130.4915,21.4023,163.7778
14,0.5935,2,True,3,7,154.5,376.4,8,False,0.0838,0.0162,0.0128,0.0,0.0262,0.2,16.818,9.8179,0.0184,0.06,0.0,0.0121,0.0001,0.0113,0.0001,2.9454,0.6558,1.1525,0.0118,1.2364,12.7635,17.8426,31.8425
15,0.3281,8,True,2,30,92.1,230.5,4,False,0.0502,0.0097,0.0117,0.0,0.0698,0.8,6.8455,17.1752,0.0268,0.03,0.0,0.0124,0.0001,0.0277,0.0002,5.1526,1.1471,2.0162,0.014,2.0664,22.3281,8.9946,33.3891
16,0.5738,9,True,4,7,149.8,365.6,8,True,0.0813,0.0157,0.0127,0.0,0.115,0.9,21.774,12.7128,0.0471,0.06,0.0025,0.0213,0.0001,0.0494,0.0003,3.8138,0.8491,1.4924,0.0194,1.5737,16.5271,23.8662,41.9669
17,0.3082,8,True,1,14,87.4,219.5,4,True,0.0476,0.0092,0.0116,0.0,0.0672,0.8,3.2589,3.8171,0.0255,0.03,0.0013,0.0118,0.0001,0.0263,0.0002,1.1451,0.255,0.4481,0.0137,0.4957,4.9625,4.5105,9.9687
18,0.6757,4,True,1,30,173.8,421.6,10,True,0.0943,0.0182,0.0131,0.0,0.0579,0.4,6.2822,15.7099,0.0304,0.075,0.0013,0.0168,0.0001,0.0253,0.0002,4.713,1.0493,1.8442,0.015,1.9385,20.4232,7.9844,30.346
19,0.49,1,True,3,14,130.2,319.5,7,False,0.0707,0.0137,0.0123,0.0,0.0114,0.1,14.2637,16.6668,0.0119,0.0525,0.0,0.009,0.0001,0.0048,0.0,5.0,1.1131,1.9565,0.0101,2.0272,21.667,15.6025,39.2968
20,0.463,11,False,0,14,123.8,304.7,6,False,0.0673,0.013,0.0122,0.0,0.1205,1.1,0.0,0.0,0.0461,0.045,0.0,0.02,0.0001,0.0503,0.0003,0.0,0.0001,0.0,0.0191,0.0673,0.0004,1.4263,1.494
21,0.3638,4,False,0,14,100.5,250.1,5,True,0.0547,0.0106,0.0118,0.0,0.0373,0.4,0.0,0.0,0.0178,0.0375,0.0008,0.0098,0.0001,0.015,0.0001,0.0,0.0001,0.0,0.0117,0.0547,0.0002,0.5522,0.6071
22,0.7445,10,False,0,7,190.0,459.5,11,False,0.103,0.0199,0.0134,0.0,0.156,1.0,0.0,0.0,0.0647,0.0825,0.0,0.0286,0.0001,0.0689,0.0004,0.0,0.0001,0.0,0.024,0.103,0.0005,1.4582,1.5617
23,0.4691,3,False,0,7,125.2,308.0,7,True,0.0681,0.0131,0.0123,0.0,0.0332,0.3,0.0,0.0,0.0185,0.0525,0.0007,0.011,0.0001,0.0139,0.0001,0.0,0.0001,0.0,0.0119,0.0681,0.0002,0.4671,0.5353
24,0.4143,2,False,0,14,112.4,277.9,6,False,0.0611,0.0118,0.012,0.0,0.0203,0.2,0.0,0.0,0.0135,0.045,0.0,0.0088,0.0001,0.0083,0.0001,0.0,0.0001,0.0,0.0105,0.0611,0.0002,0.3304,0.3916
25,0.4296,10,False,0,14,115.9,286.3,6,False,0.063,0.0122,0.0121,0.0,0.104,1.0,0.0,0.0,0.0401,0.045,0.0,0.0177,0.0001,0.0429,0.0003,0.0,0.0001,0.0,0.0175,0.063,0.0004,1.2916,1.355
26,0.6065,12,False,0,14,157.5,383.6,9,False,0.0855,0.0165,0.0128,0.0,0.1599,1.2,0.0,0.0,0.0627,0.0675,0.0,0.0267,0.0001,0.069,0.0004,0.0,0.0001,0.0,0.0234,0.0855,0.0005,1.6387,1.7247
